,state,UP,DOWN,LEFT,RIGHT,POLICY
82,"((1, 2), (3, 1))",-317.9769145226926,-309.0504247963671,-312.61088060974043,-313.58164717355976,DOWN
83,"((0, 2), (3, 1))",-312.1828056455001,-314.1611030020151,-313.8263580748595,-310.974812302056,RIGHT
84,"((5, 2), (3, 1))",-323.916837696883,-322.7324577136956,-330.06397375593485,-509.0,DOWN
85,"((4, 1), (2, 1))",-313.0851272215617,-319.82881288600777,-317.07076338878875,-316.8141979643251,UP
86,"((3, 0), (2, 1))",-313.6357021525415,-319.51178200927063,-315.76701060619337,-313.0191347866172,RIGHT
87,"((2, 0), (2, 1))",-307.56882183925165,-314.3528963402359,-308.4116744552528,-303.78688074817114,RIGHT
88,"((1, 0), (2, 1))",-303.0785336131939,-307.1348833860326,-305.8028212712603,-305.135225061413,UP
89,"((0, 0), (2, 1))",-302.29053630762013,-305.5779550567697,-304.7063373321609,-298.9003389103107,RIGHT
90,"((4, 0), (2, 1))",-314.9769558848846,-317.74239364654426,-319.6218916172726,-320.39790366838406,UP
91,"((3, 2), (2, 1))",-313.1098243896882,-317.81410907512344,-313.04946866188516,-509.0,LEFT
92,"((2, 2), (2, 1))",-306.7389975782029,-309.563426989442,-303.74819549524284,-508.5,LEFT
93,"((1, 2), (2, 1))",-306.22707062896046,-302.344155695607,-301.2872186959013,-301.3557365474083,LEFT
94,"((0, 2), (2, 1))",-304.7063373321609,-302.9085450111835,-303.4141777555325,-301.96547005897327,RIGHT
95,"((4, 2), (2, 1))",-317.64481625238966,-315.0493758261936,-317.8638128055452,-764.25,DOWN
96,"((2, 3), (1, 1))",0.0,0.0,0.0,0.0,UP
97,"((5, 3), (4, 1))",0.0,0.0,0.0,0.0,UP
98,"((3, 1), (4, 1))",-332.6018597002309,-331.9922702026051,-332.25667731845897,-333.53844045732785,DOWN
99,"((2, 1), (4, 1))",-332.95548873847827,-332.4871968353093,-328.79073636904036,-332.23669367065827,LEFT
100,"((1, 1), (4, 1))",-327.5842798727469,-332.63578968042185,-327.45391577119494,-327.25915064324863,RIGHT
101,"((0, 1), (4, 1))",-329.61879542512713,-329.4681657648702,-324.0413017451324,-328.59848006486317,LEFT
102,"((3, 3), (4, 1))",0.0,0.0,0.0,0.0,UP
103,"((3, 1), (3, 2))",-309.34611187004475,-311.6157761887216,-308.7916320172942,-506.5,LEFT
104,"((2, 1), (3, 2))",-302.88852694118026,-305.4776796302467,-303.7368431820207,-305.5319086753206,UP
105,"((1, 1), (3, 2))",-296.4851782433898,-297.27790837609746,-301.5203574763491,-299.2115282506508,UP
106,"((0, 1), (3, 2))",-294.8393164429723,-297.8844688543941,-297.11062290283996,-292.4968418205709,RIGHT
107,"((4, 1), (3, 2))",-306.2178040696766,-308.114795344277,-307.27937945780684,-305.44515783200745,RIGHT
108,"((3, 0), (3, 2))",-303.1132028578331,-306.3885689076874,-302.9014834771424,-310.7365448777398,LEFT
109,"((2, 0), (3, 2))",-300.0575167277482,-300.5504865717477,-300.5594430890303,-303.38365867229925,UP
110,"((1, 0), (3, 2))",-304.1674659859906,-297.48155908864726,-301.86511986075743,-302.70516266163065,DOWN
111,"((0, 0), (3, 2))",-297.19229882629236,-303.836189962611,-297.19229882629236,-298.35384231490144,UP
112,"((4, 0), (3, 2))",-308.59194943550085,-307.3097205120135,-309.18001361835934,-306.20802130163037,RIGHT
113,"((3, 2), (3, 3))",0.0,0.0,0.0,0.0,UP
114,"((3, 3), (4, 2))",0.0,0.0,0.0,0.0,UP
115,"((4, 3), (4, 1))",0.0,0.0,0.0,0.0,UP
116,"((4, 3), (3, 1))",0.0,0.0,0.0,0.0,UP
117,"((5, 3), (4, 2))",0.0,0.0,0.0,0.0,UP
118,"((2, 3), (4, 1))",0.0,0.0,0.0,0.0,UP
119,"((1, 3), (4, 1))",-322.2529580458976,-508.5,-322.02587687316657,-315.6163247773897,RIGHT
120,"((0, 3), (4, 1))",-315.5091736866971,-318.68857365149995,-321.0315429524517,-319.1907638799164,UP
121,"((5, 1), (2, 1))",-318.0451760391601,-319.6218916172726,-321.53355845714873,-321.70263258536295,UP
122,"((5, 0), (2, 1))",-319.755784256012,-318.31093396937655,-313.70298209441955,-318.60879340619215,LEFT
123,"((5, 2), (2, 1))",-315.94350297485755,-313.70298209441955,-321.2053831749065,-510.0,DOWN
124,"((2, 1), (2, 2))",-295.1840595794561,-297.4256785794761,-297.0713356451654,-507.0,UP
125,"((1, 1), (2, 2))",-289.0982824757787,-291.7356231699496,-291.46914816647825,-288.30547303265564,RIGHT
126,"((0, 1), (2, 2))",-287.77820748037414,-283.34550093246446,-287.3792217104947,-285.9252661477335,DOWN
127,"((3, 1), (2, 2))",-291.86135221630695,-293.62811536953467,-295.3514440638727,-291.4169666747114,RIGHT
128,"((2, 0), (2, 2))",-292.3404067462393,-295.36200676011225,-290.68780636372094,-296.947296025856,LEFT
129,"((1, 0), (2, 2))",-290.10767128313006,-289.605734431893,-291.6395804732374,-292.75654957423774,DOWN
130,"((0, 0), (2, 2))",-282.05075510849963,-288.0889198532474,-287.1433254572811,-288.3757745549955,UP
131,"((3, 0), (2, 2))",-295.00584650369206,-289.1283917670115,-294.8393164429723,-295.7722814832484,DOWN
132,"((2, 2), (2, 3))",0.0,0.0,0.0,0.0,UP
133,"((2, 3), (4, 2))",0.0,0.0,0.0,0.0,UP
134,"((5, 2), (3, 2))",-301.6112339571954,-301.1694595900934,-307.30589956353845,-508.0,DOWN
135,"((5, 1), (3, 2))",-309.79433706118436,-309.14687611708496,-307.75181318633594,-305.7159711739092,RIGHT
136,"((5, 0), (3, 2))",-309.342542658909,-305.3780215696499,-308.85579426145364,-306.81379585351567,DOWN
137,"((4, 3), (3, 2))",0.0,0.0,0.0,0.0,UP
138,"((3, 3), (3, 1))",0.0,0.0,0.0,0.0,UP
139,"((1, 4), (4, 1))",-311.861280182017,-308.85651540283254,-317.40075101430637,-310.8157125542199,DOWN
140,"((0, 4), (4, 1))",-313.38972789833275,-315.0290353755911,-308.6025451376302,-313.24105792410404,LEFT
